Order	Order Type	Description	Revision	Main work center	Sort field	Description of functional location
100906163	PM01	4Y C/O Mech Cyclone Cluster Feed Pipe		5		Cyclone Feed Piping
100954953	PM01	5Y C/O Reducer Vertical Cell		5	0330-FTR-0006	Vertical Gear Reducer
100974052	PM01	6M C/O Mech Discharge Hose		5	0330-PPR-0017	Piping & Valving
100991965	PM01	3Y C/O Rotor Flotation Cell	OUTM2401	5	0330-FTR-0001	Rotor
101035462	PM01	3Y C/O Rotor Flotation Cell	OUTM2504	5	0330-FTR-0007	Rotor
101035463	PM01	3Y C/O Stator Flotation Cell	OUTM2504	5	0330-FTR-0005	Stator
101035464	PM01	3Y C/O Stator Flotation Cell	OUTM2504	5	0330-FTR-0007	Stator
101035465	PM01	3Y C/O Rotor Cell		5	0330-FTR-0002	Rotor
101035466	PM01	3Y C/O Rotor Cell		5	0330-FTR-0009	Rotor
101035468	PM01	3Y C/O Rotor Cell		5	0330-FTR-0011	Rotor
101035469	PM01	3Y C/O Rotor Cell		5	0330-FTR-0012	Rotor
101035470	PM01	3Y C/O Rotor Cell		5	0330-FTR-0004	Rotor
101036396	PM01	3Y C/O Rotor Cell		5	0330-FTR-0015	Rotor
101036397	PM01	3Y C/O Rotor Cell		5	0330-FTR-0017	Rotor
101036399	PM01	3Y C/O Rotor Cell		5	0330-FTR-0006	Rotor
101036400	PM01	3Y C/O Rotor Cell		5	0330-FTR-0019	Rotor
101036401	PM01	3Y C/O Rotor Cell		5	0330-FTR-0020	Rotor
101044535	PM01	2Y C/O Mech Filter Plates Links Sup.	OUTF2601	6	0420-FLA-0002	Filter Plates
101044536	PM01	2Y C/O Mech Filter Plates Blocks Sup.	OUTF2601	6	0420-FLA-0002	Filter Plates
101044537	PM01	2Y C/O Mech Filter Plates Links Inf.	OUTF2502	6	0420-FLA-0003	Filter Plates
101044538	PM01	2Y C/O Mech Filter Plates Blocks Inf.	OUTF2502	6	0420-FLA-0003	Filter Plates
101044539	PM01	4Y C/O Mech Filter Wheels MPH	OUTF2403	6	0420-FLA-0002	Frame
101044660	PM01	3Y C/O Mech Filter Isolator Vibration	OUTF2602	6	0420-FLA-0002	Frame
101046886	PM01	2Y Pump Assembly	PROC-P	6	0510-PPC-0131	Pump System
101046887	PM01	2Y Pump Assembly		6	0510-PPC-0132	Pump System
101062532	PM01	4Y C/O Draft Tube Flotation Cell		5		Draft Tube
101062534	PM01	4Y C/O Mech Cone Velocity	OUTM2503	5	0330-FTR-0010	Cone Velocity
101063193	PM01	4Y C/O Draft Tube Flotation Cell	OUTM2505	5	0330-FTR-0010	Draft Tube
101065688	PM01	4Y C/O Mech Bottom False	OUTM2504	5	0330-FTR-0019	Bottom False
101065689	PM01	4Y C/O Mech Bottom False	OUTM2502	5	0330-FTR-0021	Bottom False
101065690	PM01	4Y C/O Mech Bottom False	OUTM2504	5	0330-FTR-0022	Bottom False
101068696	PM01	4Y C/O Mech Cone Velocity	OUTM2503	5	0330-FTR-0018	Cone Velocity
101082751	PM01	2Y Pump Assembly	PROC-P	6	0510-PPC-0130	Pump System
101085047	PM01	5Y C/O Mech Driven Pulley	OUTM2505	5	0330-FTA-0005	Drive Components
101086763	PM01	3Y C/O Disperser Cell	PROC-P	5	0330-FTR-0028	Disperser
101087279	PM01	3M Insp Feed Cells Flotation Rougher	OUTM2401	5	0330-STP-0025	Structure
101087344	PM01	3M Insp Rougher Flotation Cells	OUTM2402	5	RSFL004	Flot Rougher & Rougher Scav Row 4
101088896	PM01	6M Chck Syst & Comp FE/Moly Roug Row 1/2	OUTY2402	6	MOFL002	Feed Moly Rougher Row 1 & 2
101088898	PM01	6M Chck Syst & Comp Flot Moly Clner Scvg	OUTY2402	6	MOSC001	Flotation Moly Cleaner Scavenger
101093337	PM01	1Y C/O Bearing Assembly Pump		6	0420-PPS-0073	Bearing Assembly
101096024	PM01	4Y C/O Draft Tube Flotation Cell		5	0330-FTR-0017	Draft Tube
101096025	PM01	4Y C/O Draft Tube Flotation Cell		5	0330-FTR-0018	Draft Tube
101096029	PM01	3Y C/O Rotor Flotation Cell		5	0330-FTA-0011	Rotor
101096030	PM01	3Y C/O Stator 100 Cell	OUTM2501	5	0330-FTA-0011	Stator
101096031	PM01	3Y C/O Rotor Flotation Cell 70	OUTM2501	5	0330-FTA-0017	Rotor
101096032	PM01	3Y C/O Stator 70 Cell		5	0330-FTA-0017	Stator
101096038	PM01	4Y C/O Mech Cone Velocity		5	0330-FTR-0017	Cone Velocity
101096039	PM01	4Y C/O Mech Cone Velocity		5	0330-FTR-0027	Cone Velocity
101096040	PM01	4Y C/O Mech Cone Velocity	OUTM2503	5	0330-FTR-0028	Cone Velocity
101096041	PM01	4Y C/O Mech Bottom False		5	0330-FTR-0012	Bottom False
101096635	PM01	3Y C/O Rotor 160 Cell		5	0330-FTA-0007	Rotor
101096636	PM01	3Y C/O Stator 160 Cell	OUTM2601	5	0330-FTA-0007	Stator
101104426	PM01	3Y C/O Disperser Cell	OUTM2407	5	0330-FTR-0015	Disperser
101109670	PM01	3M Insp Rougher Flotation Cells	OUTM2405	5	RSFL001	Flot Rougher & Rougher Scav Row 1
101109677	PM01	6M Chck Syst & Comp Thickener Tailings	OUTM2405	6	0510-TKF-0026	Thickener Tailings 1
101111665	PM01	1Y C/O Plate Filter MPH	OUTF2501	6	0420-FLA-0002	Filter Plates
101111666	PM01	1Y C/O Filter Plate FPH	OUTF2501	6	0420-FLA-0002	Filter Plates
101111667	PM01	1Y C/O Plate Membrane Complete Filter	OUTF2501	6	0420-FLA-0002	Filter Plates
101111668	PM01	1Y C/O Plate Filter Complete	OUTF2501	6	0420-FLA-0002	Filter Plates
101116571	PM01	3Y C/O Rotor Flotation Cell	OUTM2608	5	0330-FTR-0005	Rotor
101116983	PM01	4Y C/O Draft Tube Flotation Cell	OUTM2501	5	0330-FTR-0012	Draft Tube
101116985	PM01	4Y C/O Draft Tube Flotation Cell	OUTM2504	5		Draft Tube
101116986	PM01	4Y C/O Mech Cone Velocity	OUTM2505	5	0330-FTR-0011	Cone Velocity
101116987	PM01	4Y C/O Mech Cone Velocity	OUTM2504	5	0330-FTR-0019	Cone Velocity
101116988	PM01	4Y C/O Mech Cone Velocity	OUTM2506	5	0330-FTR-0020	Cone Velocity
101116989	PM01	3Y C/O Rotor Cell	OUTM2505	5	0330-FTA-0003	Rotor
101116990	PM01	3Y C/O Rotor 160 Cell	OUTM2505	5	0330-FTA-0002	Rotor
101116992	PM01	3Y C/O Rotor 160 Cell	OUTM2501	5	0330-FTA-0010	Rotor
101116993	PM01	3Y C/O Rotor Flotation Cell	OUTM2501	5	0330-FTA-0015	Rotor
